,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
3,Rikitea,PF,71.58,moderate rain,-23.1203,-134.9692,People ThankYou
5,New Norfolk,AU,82.92,broken clouds,-42.7826,147.0587,The Shingles Riverside Cottages
7,Saint-Pierre,RE,81.57,clear sky,-21.3393,55.4781,Alize Plage
9,Vaini,TO,78.96,broken clouds,-21.2,-175.2,Keleti Beach Resort
10,Georgetown,MY,89.53,few clouds,5.4112,100.3354,Cititel Penang
14,Faanui,PF,79.18,light rain,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
20,Hilo,US,73.26,broken clouds,19.7297,-155.09,Hilo Hawaiian Hotel
25,Avarua,CK,73.45,scattered clouds,-21.2078,-159.775,Paradise Inn
30,Padang,ID,84.25,overcast clouds,-0.9492,100.3543,Mercure Padang
32,Hithadhoo,MV,81.95,overcast clouds,-0.6,73.0833,Scoop Guest House
37,Cabedelo,BR,75.87,scattered clouds,-6.9811,-34.8339,Pousada Camboinha
44,Esperance,AU,80.44,overcast clouds,-33.8667,121.9,Hospitality Esperance
46,Port Macquarie,AU,72.9,clear sky,-31.4333,152.9167,Rydges Port Macquarie
52,Perumpavur,IN,87.71,haze,10.1333,76.4833,Hotel Travellers Inn
56,Moerai,PF,71.15,overcast clouds,-22.4333,-151.3333,Le Manotel
57,Murray Bridge,AU,74.12,scattered clouds,-35.1167,139.2667,Balcony On Sixth Lodge
59,Souillac,MU,77.38,few clouds,-20.5167,57.5167,Shanti Maurice Resort & Spa
65,Saint-Paul,RE,82.0,broken clouds,-21.0096,55.2707,Boucan Canot
68,Cairns,AU,88.07,broken clouds,-16.9167,145.7667,Mantra Trilogy Cairns
70,Kapaa,US,80.58,scattered clouds,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
72,Kavieng,PG,84.29,light rain,-2.5744,150.7967,Nusa Island Retreat
79,Ternate,ID,84.79,broken clouds,0.8,127.4,Sahid Bela Ternate Hotel
80,Hasaki,JP,73.29,scattered clouds,35.7333,140.8333,Inubosaki Kanko Hotel
82,Vila Franca Do Campo,PT,70.2,light rain,37.7167,-25.4333,Pestana Bahia Praia
83,Butaritari,KI,82.29,overcast clouds,3.0707,172.7902,Isles Sunset Lodge
84,Ruteng,ID,72.7,broken clouds,-8.6136,120.4721,Hotel FX 72
85,Chirongui,YT,80.53,broken clouds,-12.9319,45.1483,La Villa Mahatsara
86,Malangwa,NP,80.29,clear sky,26.8568,85.5581,Prem Meat House
89,Hobart,AU,83.26,broken clouds,-42.8794,147.3294,St Ives Hobart Accommodation Tasmania
92,Port Hedland,AU,82.45,clear sky,-20.3167,118.5667,The Esplanade Hotel
96,Ambilobe,MG,83.34,overcast clouds,-13.2,49.05,Hôtel & Restaurant DIANA Ambilobe
100,Nathdwara,IN,77.99,clear sky,24.9333,73.8167,Hotel Sudarshan
106,Carnarvon,AU,71.15,broken clouds,-24.8667,113.6333,Hospitality Carnarvon
109,Teknaf,BD,83.61,scattered clouds,20.8624,92.3058,Forestry Guesthouse
113,Dingle,PH,85.53,broken clouds,10.9995,122.6711,SEGAYA PROPERTY
115,Alenquer,BR,77.09,moderate rain,-1.9417,-54.7383,Detinha Hotel
118,Isangel,VU,84.31,haze,-19.55,169.2667,Tanna Lodge
127,Pedernales,DO,76.86,clear sky,18.0384,-71.744,Hotel Costa Marina
128,Biak,ID,84.25,overcast clouds,-0.9131,122.8766,Penginapan Kim
129,Praia Da Vitoria,PT,70.05,broken clouds,38.7333,-27.0667,Hotel Branco I
130,Kulhudhuffushi,MV,80.49,overcast clouds,6.6221,73.07,Haajy Guest House 1
133,Soe,ID,82.13,overcast clouds,-9.8607,124.284,Dena Hotel
135,Bambous Virieux,MU,79.21,few clouds,-20.3428,57.7575,Casa Tia Villa
142,Cururupu,BR,72.88,clear sky,-1.8283,-44.8683,POUSADA TRAVÉS'CIA
143,Aquiraz,BR,80.69,overcast clouds,-3.9014,-38.3911,Pousada Rua Camurupim
146,Moyale,KE,72.3,overcast clouds,3.5167,39.0584,La Tahzan Guest House
147,Bathsheba,BB,77.61,broken clouds,13.2167,-59.5167,Atlantis Hotel
157,Varkkallai,IN,85.78,broken clouds,8.7341,76.7067,SPOT ON 72723 Pathanjali Ayurveda Yoga Centre( Dreams Beach Resort)
160,Nampula,MZ,73.35,few clouds,-15.1165,39.2666,Ruby Backpackers
164,Atuona,PF,77.67,broken clouds,-9.8,-139.0333,Villa Enata
169,Nicoya,CR,72.43,overcast clouds,10.1483,-85.452,Las Cabinas Del Sueño
171,Vilhena,BR,71.35,few clouds,-12.7406,-60.1458,Hotel Mirage
173,Caravelas,BR,72.41,overcast clouds,-17.7125,-39.2481,Pousada dos Navegantes
177,Mount Isa,AU,82.17,scattered clouds,-20.7333,139.5,ibis Styles Mt Isa Verona
178,Mandali,IQ,70.48,broken clouds,33.7499,45.5541,قرئ الشيخ سحاب الندا
182,Mahebourg,MU,79.25,few clouds,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
184,Rabaul,PG,83.07,moderate rain,-4.1967,152.1721,Rabaul Hotel
189,Puerto Madero,MX,77.56,light rain,14.7208,-92.4215,DEPARTAMENTOS LA ESTANCIA
196,Sola,VU,81.59,scattered clouds,-13.8833,167.55,Leumerus Bungalows
