City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,Port Alfred,-33.5906,26.891,64.18,90,100,3.0,ZA,2022-11-07 23:46:25
1,Orel-Izumrud,43.4583,39.9244,46.42,66,100,13.42,RU,2022-11-07 23:46:26
2,Syracuse,37.0881,15.2792,60.39,71,1,4.34,IT,2022-11-07 23:46:26
3,Ribeira Grande,38.5167,-28.7,62.78,69,100,5.99,PT,2022-11-07 23:46:27
4,Jamestown,42.097,-79.2353,49.59,59,0,5.75,US,2022-11-07 23:44:42
5,Clyde River,70.4692,-68.5914,10.63,72,75,0.0,CA,2022-11-07 23:46:27
6,Puerto Ayora,-0.7393,-90.3518,67.55,84,91,5.01,EC,2022-11-07 23:46:28
7,Punta Arenas,-53.15,-70.9167,59.11,63,75,20.71,CL,2022-11-07 23:46:28
8,Ushuaia,-54.8,-68.3,60.46,51,75,18.41,AR,2022-11-07 23:46:29
9,Vardo,70.3705,31.1107,33.78,86,100,6.91,NO,2022-11-07 23:46:29
10,Hilo,19.7297,-155.09,80.33,76,75,8.05,US,2022-11-07 23:46:29
11,Melilla,35.2937,-2.9383,62.98,77,0,5.75,ES,2022-11-07 23:46:30
12,San Cristobal,7.7669,-72.225,73.58,97,89,2.37,VE,2022-11-07 23:46:30
13,Ust-Nera,64.5667,143.2,-23.33,99,77,3.71,RU,2022-11-07 23:46:30
14,Mataura,-46.1927,168.8643,65.48,41,78,4.18,NZ,2022-11-07 23:46:31
15,Satun,6.8333,100.0,75.2,95,93,2.71,TH,2022-11-07 23:46:31
16,Lagoa,39.05,-27.9833,63.1,68,100,19.66,PT,2022-11-07 23:46:32
17,Poum,-20.2333,164.0167,78.17,80,100,13.09,NC,2022-11-07 23:46:32
18,Rikitea,-23.1203,-134.9692,73.56,92,100,21.43,PF,2022-11-07 23:46:32
19,Kandara,25.7191,73.2765,74.14,35,58,3.42,IN,2022-11-07 23:46:33
20,Port Elizabeth,-33.918,25.5701,63.32,87,100,5.01,ZA,2022-11-07 23:46:33
21,Upernavik,72.7868,-56.1549,11.44,88,100,8.46,GL,2022-11-07 23:46:33
22,Cape Town,-33.9258,18.4232,61.12,85,16,1.99,ZA,2022-11-07 23:45:48
23,Atuona,-9.8,-139.0333,77.05,69,79,13.53,PF,2022-11-07 23:46:34
24,Kruisfontein,-34.0033,24.7314,57.45,82,99,6.31,ZA,2022-11-07 23:46:34
25,Batagay-Alyta,67.8006,130.4114,-1.98,89,100,2.59,RU,2022-11-07 23:46:35
26,Huarmey,-10.0681,-78.1522,65.53,81,20,7.2,PE,2022-11-07 23:46:35
27,Thompson,55.7435,-97.8558,-2.04,84,20,4.61,CA,2022-11-07 23:46:35
28,Nanortalik,60.1432,-45.2371,27.0,88,100,3.11,GL,2022-11-07 23:46:36
29,East London,-33.0153,27.9116,68.04,89,100,14.05,ZA,2022-11-07 23:46:36
30,Kieta,-6.2167,155.6333,85.28,70,23,7.14,PG,2022-11-07 23:46:36
